Match ID,Map name,Map Image URL,Mode,Match duration (milliseconds),Match duration,Kills,XP at end,EKIA Ratio,Rank at end,Accuracy,Shots Landed,Highest Multikill,EKIA,Score,Headshots,Assists,Score per minute,Deaths,Damage dealt,KD Ratio,Shots Missed,Multi Kills,Highest Streak,Hits,Time played,Suicides,Time played alive,Objectives,Shots,Shots fired
14324148470396477428,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Domination,692000,11m 32s,24.0,0,1.2,0,25.48076923076923,106.0,2.0,24.0,2925.0,6.0,1.0,236.52291105121296,20.0,3948.0,1.2,310.0,1.0,4.0,119.0,742.0,0.0,590.0,10.0,0.0,416.0
2635995671750919128,Satellite,https://www.callofduty.com/cdn/app/base-maps/cw/mp_satellite.jpg,Domination,689000,11m 29s,25.0,0,1.3043478260869565,0,24.601366742596813,108.0,2.0,30.0,2580.0,7.0,7.0,207.50670241286863,23.0,4426.0,1.0869565217391304,331.0,2.0,3.0,109.0,746.0,0.0,587.0,12.0,0.0,439.0
15995080800092130900,Satellite,https://www.callofduty.com/cdn/app/base-maps/cw/mp_satellite.jpg,Domination,582000,09m 42s,24.0,0,2.6,0,24.404761904761905,82.0,2.0,26.0,4495.0,8.0,3.0,428.09523809523813,10.0,3811.0,2.4,254.0,3.0,6.0,82.0,630.0,0.0,513.0,5.0,0.0,336.0
16099661064700041959,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,691000,11m 31s,20.0,0,1.7857142857142858,0,24.242424242424242,88.0,0.0,25.0,2205.0,6.0,5.0,176.8716577540107,14.0,4071.0,1.4285714285714286,275.0,0.0,4.0,88.0,748.0,0.0,620.0,15.0,0.0,363.0
12746962934532656516,Crossroads,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tundra.jpg,Domination,676000,11m 16s,36.0,0,1.8181818181818181,0,28.194444444444443,203.0,3.0,40.0,4775.0,8.0,4.0,378.968253968254,22.0,6453.0,1.6363636363636365,517.0,5.0,6.0,203.0,756.0,0.0,574.0,11.0,0.0,720.0
1743912799868018075,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Domination,642000,10m 42s,16.0,847052.0,1.7,43.0,25.842696629213485,69.0,2.0,17.0,1965.0,4.0,3.0,172.87390029325513,10.0,2674.0,1.6,198.0,3.0,4.0,69.0,682.0,0.0,569.0,9.0,0.0,267.0
5422917803277375791,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,750000,12m 30s,9.0,0,1.375,0,22.04724409448819,28.0,2.0,11.0,1000.0,1.0,2.0,118.11023622047244,8.0,1590.0,1.125,99.0,2.0,2.0,28.0,508.0,0.0,406.0,5.0,0.0,127.0
11751247467811184856,Garrison,https://www.callofduty.com/cdn/app/base-maps/cw/mp_tank.jpg,Domination,623000,10m 23s,11.0,0,3.6666666666666665,0,31.61764705882353,43.0,3.0,11.0,1660.0,0.0,0.0,408.1967213114754,3.0,1485.0,3.6666666666666665,93.0,2.0,3.0,43.0,244.0,0.0,180.0,5.0,0.0,136.0
10070184056107102491,Cartel,https://www.callofduty.com/cdn/app/base-maps/cw/mp_cartel.jpg,Combined Arms: Domination,579000,09m 39s,10.0,0,1.3636363636363635,0,25.806451612903224,32.0,0.0,15.0,1465.0,2.0,6.0,135.64814814814815,11.0,2000.0,0.9090909090909091,92.0,0.0,2.0,32.0,648.0,0.0,547.0,11.0,0.0,124.0
6737766022515777913,Armada,https://www.callofduty.com/cdn/app/base-maps/cw/mp_black_sea.jpg,Combined Arms: Domination,836000,13m 56s,17.0,0,0.8181818181818182,0,26.409495548961427,89.0,0.0,18.0,2905.0,5.0,1.0,193.02325581395348,22.0,2890.0,0.7727272727272727,248.0,0.0,4.0,89.0,903.0,0.0,769.0,13.0,0.0,337.0
